Component name, FQDN, Password #1, Password #2, Password #3
VCF Operations Appliance,ops.vcf.lab.io, Root credentials: root / VMware1!VMware1!, Administrator credentials: admin / VMware1!VMware1!, 
Fleet Management Appliance,opsfm01.vcf.lab.io, Root credentials: root / VMware1!VMware1!, Administrator credentials: admin@local / VMware1!VMware1!, 
Operations Collector Appliance,opsproxy01.vcf.lab.io, Administrator credentials: root / VMware1!VMware1!, , 
VCF Automation,auto01.vcf.lab.io, Administrator credentials: admin / VMware1!VMware1!, , 
vCenter,mgmt-vc.vcf.lab.io, Root credentials: root / VMware1!VMware1!, Administrator credentials: administrator@vsphere.local / VMware1!VMware1!, 
NSX Manager,nsx01.vcf.lab.io, Root credentials: root / VMware1!VMware1!, Administrator credentials: admin / VMware1!VMware1!, Audit credentials: audit / VMware1!VMware1!
Hosts,esx01.vcf.lab.io, Root credentials: root / VMwareVCF9!, , 
Hosts,esx02.vcf.lab.io, Root credentials: root / VMwareVCF9!, , 
Hosts,esx03.vcf.lab.io, Root credentials: root / VMwareVCF9!, , 
Hosts,esx04.vcf.lab.io, Root credentials: root / VMwareVCF9!, , 
SDDC Manager,sddcm01.vcf.lab.io, Root credentials: root / VMware1!VMware1!, VCF credentials: vcf / VMware1!VMware1!, Local Admin Credentials: admin@local / VMware1!VMware1!
